,exp_path,batch_size,bn,cpu,device,dropout,dropout_rate,epochs,exp_no,gamma,kfold,loss_fn,lr,model,note,optim,scheduler,step_size,0.0 f1-score,0.0 precision,0.0 recall,0.0 support,1.0 f1-score,1.0 precision,1.0 recall,1.0 support,accuracy,macro avg f1-score,macro avg precision,macro avg recall,macro avg support,weighted avg f1-score,weighted avg precision,weighted avg recall,weighted avg support,conv_blocks,filters,hidden_layers,hidden_units,kernel_size
1601,..\experiments\247,256,FALSE,FALSE,0,FALSE,0.5,128,247,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.963141797,0.955909207,0.970816143,413.8,0.915102665,0.931888666,0.900484309,186.2,0.948666667,0.939122231,0.943898937,0.935650226,600,0.948396223,0.949107124,0.948666667,600,1,64,2,64,3
2036,..\experiments\639,256,FALSE,FALSE,0,FALSE,0.5,128,639,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.963141797,0.955909207,0.970816143,413.8,0.915102665,0.931888666,0.900484309,186.2,0.948666667,0.939122231,0.943898937,0.935650226,600,0.948396223,0.949107124,0.948666667,600,1,64,2,64,3
1162,..\experiments\2043,256,TRUE,FALSE,0,TRUE,0.5,256,2043,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962019921,0.971454703,0.953006309,413.8,0.917273081,0.898691827,0.93770587,186.2,0.948,0.939646501,0.935073265,0.94535609,600,0.948357544,0.94956909,0.948,600,1,128,2,128,2
308,..\experiments\1275,256,FALSE,FALSE,0,FALSE,0.5,128,1275,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.961251482,0.984383773,0.939190124,413.8,0.919030015,0.876304478,0.966218597,186.2,0.947666667,0.940140748,0.930344126,0.952704361,600,0.948337679,0.95111588,0.947666667,600,3,64,5,256,1
1721,..\experiments\355,256,FALSE,FALSE,0,FALSE,0.5,128,355,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.962598373,0.960659206,0.964925196,413.8,0.916011995,0.921821601,0.912010144,186.2,0.948333333,0.939305184,0.941240404,0.93846767,600,0.948296444,0.949094297,0.948333333,600,1,64,3,64,3
2127,..\experiments\720,256,FALSE,FALSE,0,FALSE,0.5,128,720,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.962598373,0.960659206,0.964925196,413.8,0.916011995,0.921821601,0.912010144,186.2,0.948333333,0.939305184,0.941240404,0.93846767,600,0.948296444,0.949094297,0.948333333,600,1,64,3,64,3
286,..\experiments\1255,256,FALSE,FALSE,0,FALSE,0.5,128,1255,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962209714,0.969373624,0.955424592,413.8,0.916340464,0.903027472,0.931438009,186.2,0.948,0.939275089,0.936200548,0.943431301,600,0.948288549,0.949367414,0.948,600,3,128,5,128,5
2323,..\experiments\898,256,FALSE,FALSE,0,FALSE,0.5,128,898,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.962123214,0.969304886,0.955362426,413.8,0.916682577,0.903410166,0.931948242,186.2,0.948,0.939402895,0.936357526,0.943655334,600,0.948265211,0.949420835,0.948,600,3,128,5,64,1
2213,..\experiments\799,256,FALSE,FALSE,0,FALSE,0.5,128,799,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.961476813,0.976888946,0.947556922,413.8,0.918257491,0.891484219,0.951251798,186.2,0.947666667,0.939867152,0.934186583,0.94940436,600,0.948240681,0.951739074,0.947666667,600,1,128,4,64,1
1606,..\experiments\251,256,FALSE,FALSE,0,FALSE,0.5,128,251,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.963080321,0.954831362,0.971988102,413.8,0.914599283,0.939535679,0.893350584,186.2,0.948666667,0.938839802,0.947183521,0.932669343,600,0.948237274,0.94938184,0.948666667,600,1,64,2,64,5
2040,..\experiments\642,256,FALSE,FALSE,0,FALSE,0.5,128,642,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.963080321,0.954831362,0.971988102,413.8,0.914599283,0.939535679,0.893350584,186.2,0.948666667,0.938839802,0.947183521,0.932669343,600,0.948237274,0.94938184,0.948666667,600,1,64,2,64,5
